user,category,transactions,opening_balance,closing_balance,behavior,file
salaried_employee_01,salaried_employee,346,"145,256.00","1,476,459.79",saver,synthetic_users/salaried_employee_01.csv
salaried_employee_02,salaried_employee,261,"154,614.00","1,871,873.47",saver,synthetic_users/salaried_employee_02.csv
salaried_employee_03,salaried_employee,264,"87,778.00","1,229,221.96",saver,synthetic_users/salaried_employee_03.csv
salaried_employee_04,salaried_employee,226,"19,905.00","1,887,529.07",low_balance,synthetic_users/salaried_employee_04.csv
salaried_employee_05,salaried_employee,349,"203,883.00","868,054.86",saver,synthetic_users/salaried_employee_05.csv
salaried_employee_06,salaried_employee,389,"15,608.00","1,423,004.63",saver,synthetic_users/salaried_employee_06.csv
salaried_employee_07,salaried_employee,345,"220,124.00","2,790,103.47",risky,synthetic_users/salaried_employee_07.csv
salaried_employee_08,salaried_employee,242,"94,911.00","1,487,523.07",saver,synthetic_users/salaried_employee_08.csv
salaried_employee_09,salaried_employee,420,"26,922.00","2,585,413.90",high_balance,synthetic_users/salaried_employee_09.csv
salaried_employee_10,salaried_employee,277,"250,758.00","2,396,844.97",high_balance,synthetic_users/salaried_employee_10.csv
salaried_employee_11,salaried_employee,224,"229,615.00","2,565,163.42",saver,synthetic_users/salaried_employee_11.csv
salaried_employee_12,salaried_employee,296,"104,230.00","2,387,911.16",saver,synthetic_users/salaried_employee_12.csv
freelancer_01,freelancer,224,"133,688.00","3,480,567.51",high_balance,synthetic_users/freelancer_01.csv
freelancer_02,freelancer,397,"304,950.00","5,826,956.51",high_balance,synthetic_users/freelancer_02.csv
freelancer_03,freelancer,258,"266,636.00","4,579,123.62",high_balance,synthetic_users/freelancer_03.csv
freelancer_04,freelancer,385,"8,878.00","5,094,648.90",high_balance,synthetic_users/freelancer_04.csv
freelancer_05,freelancer,348,"102,908.00","4,978,866.30",risky,synthetic_users/freelancer_05.csv
freelancer_06,freelancer,409,"254,338.00","4,279,250.19",high_balance,synthetic_users/freelancer_06.csv
freelancer_07,freelancer,251,"130,942.00","3,213,823.04",high_balance,synthetic_users/freelancer_07.csv
freelancer_08,freelancer,313,"259,610.00","3,437,811.43",high_balance,synthetic_users/freelancer_08.csv
freelancer_09,freelancer,287,"340,550.00","4,588,413.73",high_balance,synthetic_users/freelancer_09.csv
freelancer_10,freelancer,362,"127,934.00","3,987,999.39",risky,synthetic_users/freelancer_10.csv
freelancer_11,freelancer,367,"81,623.00","5,023,812.62",risky,synthetic_users/freelancer_11.csv
freelancer_12,freelancer,398,"221,906.00","5,146,907.76",high_balance,synthetic_users/freelancer_12.csv
student_01,student,297,"15,319.00","7,996.25",saver,synthetic_users/student_01.csv
student_02,student,296,"7,384.00",245.00,low_balance,synthetic_users/student_02.csv
student_03,student,275,"2,769.00","30,916.74",low_balance,synthetic_users/student_03.csv
student_04,student,350,"6,375.00","21,621.70",low_balance,synthetic_users/student_04.csv
student_05,student,402,"4,260.00",248.00,low_balance,synthetic_users/student_05.csv
student_06,student,487,"22,060.00","10,615.58",risky,synthetic_users/student_06.csv
student_07,student,466,"21,248.00","40,115.38",high_balance,synthetic_users/student_07.csv
student_08,student,483,"2,195.00",244.00,low_balance,synthetic_users/student_08.csv
student_09,student,368,"28,988.00","55,103.21",high_balance,synthetic_users/student_09.csv
student_10,student,433,"3,066.00","5,472.59",risky,synthetic_users/student_10.csv
student_11,student,416,"24,320.00","26,254.26",high_balance,synthetic_users/student_11.csv
student_12,student,347,"19,977.00",7.00,risky,synthetic_users/student_12.csv
business_owner_01,business_owner,365,"672,227.00","12,158,720.57",saver,synthetic_users/business_owner_01.csv
business_owner_02,business_owner,480,"36,229.00","18,009,523.93",low_balance,synthetic_users/business_owner_02.csv
business_owner_03,business_owner,339,"625,002.00","15,733,997.56",saver,synthetic_users/business_owner_03.csv
business_owner_04,business_owner,459,"310,940.00","13,019,724.82",risky,synthetic_users/business_owner_04.csv
business_owner_05,business_owner,357,"94,599.00","10,974,420.88",risky,synthetic_users/business_owner_05.csv
business_owner_06,business_owner,311,"630,654.00","10,879,423.36",high_balance,synthetic_users/business_owner_06.csv
business_owner_07,business_owner,333,"228,949.00","13,120,663.48",low_balance,synthetic_users/business_owner_07.csv
business_owner_08,business_owner,419,"594,025.00","16,925,337.57",risky,synthetic_users/business_owner_08.csv
business_owner_09,business_owner,337,"1,277,334.00","15,296,949.87",high_balance,synthetic_users/business_owner_09.csv
business_owner_10,business_owner,453,"327,300.00","17,241,998.34",risky,synthetic_users/business_owner_10.csv
business_owner_11,business_owner,487,"71,737.00","13,480,203.02",low_balance,synthetic_users/business_owner_11.csv
business_owner_12,business_owner,303,"695,425.00","12,853,813.53",saver,synthetic_users/business_owner_12.csv
